0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
-325.89185,70.229256,-21.613924,41.939945,-17.332687,7.9782414,-6.1202846,8.194103,3.0792086,2.441208,1.6649488,1.8628612,7.0332284,0.6745698,3.0706716,-4.114793,3.147476,-4.417883,0.6998743,-1.8374901,-0.8480706,-0.21480246,-0.65693825,3.276279,-0.47351485,6.115934,3.5847902,7.7031713,4.785415,6.637856,4.698742,3.0083175,4.3052964,2.7283854,5.721164,1.9330809,3.70098,0.20792197,1.0882665
-340.83337,74.282585,-27.090815,42.87751,-18.393476,6.2255087,-7.715342,7.461633,0.65167487,3.0556138,1.6368537,-1.9205697,6.2088327,0.7592525,2.6202598,-4.052072,3.9618354,-3.7264764,1.0222812,-1.6783652,-0.71640605,-0.21180487,-0.7131355,2.7101803,-0.93704236,6.1133204,3.9061296,10.011539,6.663886,8.006788,6.207738,3.0596356,4.0534596,2.5072708,5.3008075,2.2801566,4.3832164,-0.21576107,0.71654505
-301.19348,61.29215,-30.615469,41.689472,-22.957949,7.1238713,-12.392683,8.5133295,-0.890206,2.074982,2.0167139,-0.739277,6.7052703,-0.3857259,2.9968812,-6.0359955,3.7355123,-4.9173584,1.504624,-2.1899672,-1.603373,-0.29139116,-1.3101653,3.40034,-0.017212851,8.570809,4.784232,10.783752,6.2273316,6.675455,5.0995336,3.206838,6.198131,4.401958,6.467255,0.8579022,2.5236545,-1.0559095,1.1294905
-241.4565,78.451614,-38.14664,49.669403,-34.0114,14.43903,-14.703131,8.53484,-2.8458345,5.2208157,2.0048394,-1.8965752,8.693655,-2.8536563,4.6268435,-8.748671,5.193618,-6.207854,0.44571948,-3.4076176,-3.4339476,0.06840741,-1.3112583,5.060613,0.4165849,10.439504,5.458788,12.249475,7.068181,9.131374,8.5002365,5.4052715,6.1674967,1.482175,4.9915857,-0.066567376,3.0938096,-1.0876379,0.6746475
-266.8028,77.2374,-33.352406,56.54915,-25.00292,8.21142,-11.692866,8.413805,-3.1070473,2.391036,0.9672064,-1.4215024,7.5554886,-1.3749688,3.2302508,-6.4954133,5.148026,-6.202243,0.36666232,-3.7128212,-2.4814928,-0.98442173,-1.3750627,4.780694,-0.70798284,9.154896,4.0513306,9.673804,6.0725837,8.506475,9.074759,7.110632,7.2187033,3.489294,5.8027415,0.5572234,3.5612826,-0.60208213,1.7542098
-304.49768,70.984924,-24.440933,43.136005,-17.507599,8.638609,-7.4167647,8.895484,0.9734227,4.7507014,-0.40070903,0.759159,7.59107,0.6387054,3.2462084,-5.015631,5.453803,-5.589564,1.1194159,-2.4671333,-0.7845556,0.16220996,-0.88724303,1.9459795,-2.9553711,4.463707,-0.73936313,7.021238,5.613299,12.13914,13.047402,10.37018,9.128584,2.8192308,4.476061,-0.18380341,3.581167,-0.26916844,1.1560757
-300.66113,67.04855,-35.793583,45.451313,-12.14458,14.986977,-17.758287,2.3224301,-11.447029,3.5332203,-0.67637545,0.47115678,3.0341465,-3.268173,15.091628,-5.641093,11.780188,-1.1055112,3.4699676,0.6046323,-3.0803928,4.394705,-4.2720375,2.3068547,-0.83734894,4.8725514,2.28762,6.7460175,4.9486513,5.520788,3.9349515,4.7014756,6.782444,6.0395255,9.956925,3.821924,6.060844,0.82002974,2.4403927
-235.95576,70.29513,-39.909916,49.01476,-16.262253,15.867242,-22.590946,3.3760169,-14.866732,2.327203,-2.962605,-1.056729,2.2858202,-4.2705235,16.172934,-8.73634,13.243385,-1.9950757,3.824721,-0.5146191,-4.313391,4.538625,-5.7098556,2.4240813,-1.3107487,4.7287307,0.69355434,6.87707,3.4404676,4.305264,3.4709706,4.9335003,9.17973,8.052064,12.489143,5.1540613,7.6772103,2.0666773,3.6410708
-307.50497,58.330326,-33.185375,41.625603,-8.046707,8.724435,-11.115454,-0.88161635,-9.741584,2.7396357,-1.315218,0.49966577,2.049705,-1.1182101,13.6211605,-3.901971,9.2698965,0.9398964,2.7830014,0.06257642,-2.3652878,2.6993136,-3.2438562,3.2325513,3.0492773,8.252131,6.2572784,11.55688,8.812246,6.704823,5.0125017,2.9407473,3.6962366,2.313434,4.564833,0.883221,3.269065,0.922799,1.6628883
-328.42297,55.256466,-23.41618,36.09007,-3.9647038,8.568346,-8.105876,0.6494445,-5.4793897,3.1924276,-0.28380507,1.3201199,2.5580525,0.6046929,12.498829,-1.6568519,9.107017,1.1640966,2.789137,1.3861706,-1.1126728,2.9881365,-2.5427344,3.4712827,1.3635598,4.9770107,4.5476637,7.018871,6.2235365,5.3581195,5.7813535,4.832828,4.032889,2.873875,3.2102544,1.020783,3.9144673,1.2463871,2.275102
-311.36014,69.88214,-36.697697,40.649708,-13.342369,11.843162,-14.10855,-0.61931366,-10.112554,2.6120355,-2.4516733,0.547923,1.0320914,-2.8555644,14.615549,-5.38544,10.808118,-1.344189,2.8564754,0.8412113,-3.2309277,3.9135003,-3.3768547,4.729458,2.8197932,7.604795,6.0705514,10.737489,7.8421273,6.095748,5.691806,4.302876,4.103617,2.856248,4.272391,-0.12935625,4.0330462,0.23708963,1.6815841
-296.66858,58.088684,-34.58382,46.729755,-17.385742,18.207798,-15.229722,1.9254371,-8.820128,3.6614814,-1.5135143,0.07836027,3.708193,-2.4251802,14.986327,-4.3838787,11.260659,-1.140249,3.5329459,-0.5582605,-1.2616439,3.926812,-4.1205225,5.000254,0.38966224,7.5822067,5.1302214,9.263741,6.0776005,6.398484,6.739896,5.1057105,4.760929,1.6483209,3.8135662,0.084483415,4.068824,-0.08900028,2.371252
-281.28787,66.14989,-37.641872,46.629642,-14.600094,12.961855,-17.9839,1.3013533,-14.07558,1.6324762,-3.5643888,-1.5667717,1.763073,-4.582016,15.097717,-7.1639442,10.71222,-1.3325517,3.113857,-0.20618628,-3.8553414,3.435244,-4.843249,3.2648623,-0.32101363,5.6192384,2.628449,8.111004,7.98563,9.612234,8.796468,7.6609497,7.365799,3.5424726,6.1377277,0.40193737,4.492379,1.8495765,2.992531
-258.92923,64.547195,-35.787502,49.290916,-13.322569,13.035537,-18.434177,1.2292274,-15.682281,0.4737282,-3.393413,-2.0542433,1.8267194,-5.902305,13.787654,-6.1649814,11.042245,-1.5874203,3.6712873,0.45855886,-3.2980452,3.2901292,-5.8064523,3.0856051,-0.34507027,5.1316614,2.1189663,7.882062,7.9465365,8.4340925,7.09407,6.6639457,7.501448,4.183356,6.3284454,1.0363939,5.277576,1.8718024,3.2597823
-327.61188,60.436924,-23.819887,36.409645,-5.07946,11.207901,-6.9956365,0.77913463,-6.217102,3.936551,1.5519968,0.9659546,3.8203595,0.9151143,12.722246,-1.1351507,9.523158,1.1956263,2.8495073,2.3302944,-1.1316347,4.125749,-2.9817345,2.472337,0.600604,1.4394618,0.8524758,3.2517295,3.3357158,5.3339777,6.6123767,6.551452,6.778172,6.2082095,7.449587,2.8118374,4.7421384,1.962902,2.3247187
-410.25168,43.357533,-37.599037,34.165405,-18.527075,2.2229838,-11.624094,5.272993,2.6903112,4.7091904,-1.0155056,3.1095984,8.323901,-1.4480327,2.3157468,-3.435687,5.598873,-6.0310817,3.0109167,-1.3677197,-2.7749922,0.7320307,-0.5864891,7.643862,4.168562,13.649972,7.6897407,9.05731,7.822858,5.0768957,4.4992046,4.0146666,4.3304076,-0.29173303,0.80108607,-3.028829,1.8268764,-0.17015164,-1.3128666
-304.99655,48.870083,-50.260693,44.6086,-29.843708,5.8103156,-20.557379,10.587488,-1.4095217,3.8199654,-0.5050816,2.2917144,9.858943,-4.1445355,3.9341948,-5.941306,7.2044783,-8.971501,3.3044345,-3.1165347,-2.4031343,0.32629183,-2.6533954,8.91519,1.400989,14.167042,5.4177165,8.522419,5.812941,4.081719,4.228806,4.786161,7.475243,1.6378263,2.5080018,-4.2015805,1.4870921,-0.9337196,0.62225384
